Asset Sub Type,Asset Type,Uniformat Level 5,RS Means Number,Trade,Annual Labor Hours,Material,Who can perform work,Dock & Door Tech,Elevator Subcontractor,GMW,Electrical,HVAC,Fire System Contractor,Plumber,Crane Subcontractor,Contractor,Grounds,Subcontractor PM Work,Fire Tech,Material Handling,Vehicle Mechanic,Subcontractor,MATERIAL HANDELING
Hood and Blower,HVAC,D3045250,D3045250,GMW,2.98,$97.00,GMW,,,2.98,,,,,,,,,,,,,
Centrifugal Pump,PLUMBING,D3045410,D30454101950,GMW,2.63,$16.20,GMW,,,2.63,,,,,,,,,,,,,
Hydraulic Pump with Oil Reservoir,EQUIPMENT,D3045420,D30454201950,GMW,2.56,$9.30,GMW,,,2.56,,,,,,,,,,,,,
Heat Exchanger,HVAC,D3045600,D30456001950,HVAC,1.04,$30.50,HVAC,,,,,1.04,,,,,,,,,,,
Gas Radiant Unit Heater,HVAC,D3055110,D30551101950,HVAC,1.68,$2.02,HVAC,,,,,1.68,,,,,,,,,,,
Gas Infrared Unit Heater,HVAC,D30551102,D30551102950,HVAC,1.63,$80.50,HVAC,,,,,1.63,,,,,,,,,,,
Hydronic Baseboard Unit Heater,HVAC,D30551103,D30551103950,HVAC,0.96,$64.50,GMW,,,0.96,,,,,,,,,,,,,
Air Cooled Package AC Unit,HVAC,D3055210,D30552102950,HVAC,2.52,$195.00,GMW/HVAC,,,1.40,,1.12,,,,,,,,,,,
Water Cooled Package AC Unit,HVAC,D3055220,D30552202950,HVAC,5.59,$195.00,GMW/HVAC,,,5.59,,,,,,,,,,,,,
Computer Room Direct Expansion Package AC Unit,HVAC,D3055230,D30552301950,HVAC,7.50,$159.00,GMW/HVAC,,,5.62,,1.88,,,,,,,,,,,
Package AC Unit with Heat,HVAC,D3055240,D30552401950,HVAC,4.54,$201.00,GMW/HVAC,,,1.82,,2.72,,,,,,,,,,,
Air Cooled Direct Expansion Split System,HVAC,D3055250,D30552502950,HVAC,3.43,$195.00,GMW/HVAC,,,1.51,,1.92,,,,,,,,,,,
Air Cooled Heat Pump,HVAC,D3055310,D30553102950,HVAC,3.82,$202.00,GMW/HVAC,,,2.25,,1.57,,,,,,,,,,,
Water Cooled Heat Pump,HVAC,D3055320,D30553202950,HVAC,2.64,$172.00,GMW/HVAC,,,1.02,,1.62,,,,,,,,,,,
Electro Pneumatic DDC Central System Controls,HVAC,D3065100,D30651001950,HVAC,0.43,$172.00,GMW/HVAC,,,,,0.43,,,,,,,,,,,
Reciprocating Air Compressor,EQUIPMENT,D3095118,D30951183950,GMW,4.02,$155.00,GMW,,,4.02,,,,,,,,,,,,,
Steam Humidification System,HVAC,D3095210,D30952101950,HVAC,2.66,$34.50,GMW/HVAC,,,1.27,,1.39,,,,,,,,,,,
Evaporative Pan Humidification System with Heating Coil,HVAC,D30952102,D30952102950,HVAC,2.13,$40.00,GMW/HVAC,,,1.07,,1.07,,,,,,,,,,,
Desiccant Wheel Dehumidifier,HVAC,D3095220,D30952201950,HVAC,1.12,$84.00,GMW/HVAC,,,,,2.05,,,,,,,,,,,
Backflow Prevention Device,PLUMBING,D4015100,D40151002950,Plumber,0.45,$17.75,Plumber,,,,,,,0.45,,,,,,,,,
Wet Pipe Sprinkler System,FIRE PROTECTION,D4015150,D40151501950,Fire System Contractor,7.54,$63.00,GMW/Fire System Contractor,,,3.72,,,3.82,,,,,,,,,,
Deluge Pre-Action Sprinkler System,FIRE PROTECTION,D4015180,D40151801950,Fire System Contractor,6.87,$63.00,Fire System Contractor,,,,,,6.87,,,,,,,,,,
Electric Motor Driven Fire Pump,FIRE PROTECTION,D4015210,D40152101950,Fire System Contractor,11.97,$73.50,GMW/Fire System Contractor,,,10.52,,,1.44,,,,,,,,,,
Motor Engine Driven Fire Pump,FIRE PROTECTION,D4015250,D40152501950,Fire System Contractor,72.62,$239.00,GMW/Fire System Contractor,,,69.26,,,3.36,,,,,,,,,,
Dry Pipe Sprinkler System,FIRE PROTECTION,D4015310,D40153101950,Fire System Contractor,16.48,$135.00,GMW/Fire System Contractor,,,12.51,,,3.98,,,,,,,,,,
CO2 Other Gas Extinguishing System,FIRE PROTECTION,D4095100,D40951001950,Fire System Contractor,9.47,$875.00,Fire System Contractor,,,,,,9.47,,,,,,,,,,
Foam Bottle Extinguishing System,FIRE PROTECTION,D4095200,D40952001950,Fire System Contractor,3.71,$20.50,Fire System Contractor,,,,,,3.71,,,,,,,,,,
Diesel Foam Pump Extinguishing System,FIRE PROTECTION,D4095220,D40952201950,Fire System Contractor,22.16,$950.00,Fire System Contractor,,,,,,22.16,,,,,,,,,,
Dry Chemical Extinguishing System,FIRE PROTECTION,D4095400,D40954001950,Fire System Contractor,5.61,$4.34,Fire System Contractor,,,,,,5.61,,,,,,,,,,
FM200 Extinguishing System,FIRE PROTECTION,D4095450,D40954501950,Fire System Contractor,10.22,$810.00,Fire System Contractor,,,,,,10.22,,,,,,,,,,
Switchboard,ELECTRICAL,D5015210,D50152101950,Electrical,0.89,$4.04,Electrical,,,,0.89,,,,,,,,,,,,
Switchboard with Air Circuit Breaker,ELECTRICAL,D5015214,D50152141950,Electrical,13.32,$26.00,Electrical,,,,13.32,,,,,,,,,,,,
Switchboard with Air Circuit Breaker and Tie Switch,ELECTRICAL,D5015217,D50152171950,Electrical,13.36,$30.00,Electrical,,,,13.36,,,,,,,,,,,,
High Voltage Air Circuit Breaker,ELECTRICAL,D5015220,D50152201950,Electrical,0.47,$23.00,Electrical,,,,0.47,,,,,,,,,,,,
High Voltage Oil Circuit Breaker,ELECTRICAL,D5015222,D50152221950,Electrical,0.86,$17.65,Electrical,,,,0.86,,,,,,,,,,,,
High Voltage Air Selector Switch,ELECTRICAL,D5015230,D50152301950,Electrical,0.41,$23.00,Electrical,,,,0.41,,,,,,,,,,,,
High Voltage Oil Selector Switch,ELECTRICAL,D5015232,D50152321950,Electrical,0.45,$17.65,Electrical,,,,0.45,,,,,,,,,,,,
Automatic Transfer Switch,ELECTRICAL,D5015234,D50152341950,Electrical,2.74,$23.00,Electrical,,,,2.74,,,,,,,,,,,,
High Voltage Fused Air Interrupt Switch,ELECTRICAL,D5015236,D50152361950,Electrical,0.83,$23.00,Electrical,,,,0.83,,,,,,,,,,,,
High Voltage Air Interrupt Switch with Aux Fuses,ELECTRICAL,D5015238,D50152381950,Electrical,0.36,$23.00,Electrical,,,,0.36,,,,,,,,,,,,
Dry Type Transformer,ELECTRICAL,D5015240,D50152401950,Electrical,0.89,$23.00,Electrical,,,,0.89,,,,,,,,,,,,
Oil Pad Mounted Transformer,ELECTRICAL,D50152402,D50152402950,Electrical,1.23,$0.89,Electrical,,,,1.23,,,,,,,,,,,,
PCB Oil Pad Mounted Transformer,ELECTRICAL,D50152403,D50152403950,Electrical,2.69,$2.67,Electrical,,,,2.69,,,,,,,,,,,,
Breaker Panelboard 225A and Above,ELECTRICAL,D5015260,D50152601950,Electrical,0.40,$31.00,Electrical,,,,0.40,,,,,,,,,,,,
Motor Control Center,ELECTRICAL,D5015280,D50152801950,Electrical,0.55,$31.00,Electrical,,,,0.55,,,,,,,,,,,,
Central Clock System,COMMUNICATIONS & SECURITY,D5035610,D50356101950,Electrical,1.32,$18.25,Electrical,,,,1.32,,,,,,,,,,,,
Fire Alarm Annunciator System,FIRE PROTECTION,D5035710,D50357101950,Fire System Contractor,32.12,$238.00,Fire System Contractor,,,,,,32.12,,,,,,,,,,
Card Reader Security Intrusion Alarm System,COMMUNICATIONS & SECURITY,D5035810,D50358101950,Electrical,3.99,$209.00,Electrical,,,,3.99,,,,,,,,,,,,
Emergency Diesel or Gas Generator,ELECTRICAL,D5095210,D50952102950,Electrical,13.40,$123.00,Electrical,,,,13.40,,,,,,,,,,,,
Cogeneration Turbine Emergency Diesel Generator,ELECTRICAL,D50952103,D50952103950,Electrical,5.30,$222.00,Electrical,,,,5.30,,,,,,,,,,,,
Power Stabilizer,ELECTRICAL,D5095220,D50952201950,Electrical,0.75,$10.30,Electrical,,,,0.75,,,,,,,,,,,,
